id,meal_name,energy,protein,fat,cho,consistency,dish_type,color,main_ingredient_1,main_ingredient_2,meal_group
77,Etli Biber Dolması,204.56,12.9,8.98,17.12,0,1,0,3,2,6
78,Etli Domates Dolması,211.08,13.88,9.24,17.27,0,1,1,3,2,6
79,Etli Kabak Dolması,221.94,16.34,9.45,17.11,0,1,2,3,2,6
80,Etli Kereviz Dolması,225.13,16.36,9.01,18.73,0,1,2,3,2,6
81,Etli Lahana Dolması,247.54,16.04,9.35,24.2,0,1,1,3,2,6
82,Etli Patlıcan Dolması,203,13.92,9.09,15.93,0,1,3,3,2,6
83,Etli Pırasa Dolması,210.8,15.34,9,16.46,0,1,1,3,2,6
84,Etli Soğan Dolması,218.57,13.53,8.96,20.15,0,1,2,3,2,6
85,Etli Şalgam Dolması,191.08,11.3,7.99,16.82,0,1,1,3,2,6
86,Etli Yaprak Sarması,202.19,13.31,9.31,15.99,0,1,0,3,2,6
87,Kabak Çiceği Dolması,471.83,9.38,27.89,45.32,0,2,2,3,2,9
88,Zeytinyağlı Biber Dolması,473.6,6.98,27.58,48.26,0,2,0,3,2,9
89,Zeytinyağlı Kereviz Dolması,389,11.4,18.74,42.59,0,2,2,3,2,9
90,Zeytinyağlı Patlıcan Dolması,469.28,8.05,27.72,46.43,0,2,3,3,2,9
91,Zeytinyağlı Yaprak Sarması,468.28,7.13,27.96,46.1,0,2,0,3,2,9
92,Arabaşı Çorbası,320.58,22.68,7.31,40.08,1,2,1,0,,10
93,Balık Çorbası,158.34,9.35,9.11,9.22,1,2,2,0,,10
94,Bamya Çorbası,126.75,4.02,5.78,9.41,1,2,1,2,0,10
95,Börek Çorbası,146.1,5.37,5.52,18.32,1,2,1,3,0,10
96,Bulgur Çorbası,127.79,2.64,5.66,16.26,1,2,1,3,,10
97,Düğün Çorbası,149.57,18.95,6.03,4.59,1,2,2,0,1,10
98,Ezogelin Çorbası,133.37,5.03,5.67,14.09,1,2,1,0,1,10
99,Fasulye Çorbası,132.13,4.78,8.49,8.81,1,2,1,4,,10
100,Hamur Çorbası,107.92,3.5,5.75,10.49,1,2,1,3,,10
101,Ispanak Çorbası,173.48,6.01,8.63,17.39,1,2,0,2,1,10
102,İşkembe Çorbası,106.14,8.84,6.36,2.85,1,2,1,0,,10
103,Kara Lahana Çorbası,119.43,5.19,5.62,12.28,1,2,1,2,3,10
104,Kırmızı Mercimek Çorbası,131.43,5.71,6.22,11.42,1,2,1,4,,10
105,Mantar Çorbası,131.5,4.54,7.56,11.06,1,2,2,2,1,10
106,Oğmaç Çorbası,120.12,3.24,6.96,10.97,1,2,2,3,4,10
107,Sebze Çorbası,117.37,3.06,7.85,8.64,1,2,2,2,1,10
108,Sütlü Kırmızı Mercimek Çorbası,167.78,8.06,7.69,14.84,1,2,1,1,4,10
109,Tarhana Çorbası,90.43,1.64,5.62,8.28,1,2,1,3,,10
110,Tavuklu Şehriye Çorbası,157.26,11.62,5.62,14.65,1,2,2,0,3,10
111,Yayla Çorbası,145.47,4.4,8.4,12.77,1,2,2,1,3,10
112,Yeşil Mercimek Çorbası(Sehriyeli),131.88,4.76,5.64,15.18,1,2,1,3,4,10
113,Yeşil Mercimek Çorbası,173.95,7.46,7.52,18.93,1,2,1,4,,10
114,Yüksük Çorbası,182,7.59,8.65,18.13,1,2,1,0,3,10
115,Göbete Böreği,572.54,18.99,23.93,69.65,0,2,3,0,3,11
116,Ispanaklı Tandır Böreği,488.14,14.76,18.28,64.56,0,2,3,3,2,11
117,Ispanaklı Yufka Böreği,312.81,9.57,14.71,34.49,0,2,3,3,2,11
118,Kabaklı Yufka Böreği,306.44,7.5,14.47,35.94,0,2,3,3,2,11
119,Kıymalı Tandır Böreği,525.44,16.81,22.15,64.2,0,2,3,3,0,11
120,Kıymalı Yufka Böreği,324.76,12.98,14.93,34,0,2,3,3,0,11
121,Lahmacun,516.91,21.91,25.04,50.46,0,2,1,3,0,11
122,Mantı,584.61,24.68,20.46,73.89,0,2,2,3,0,11
123,Mercimekli Bükme Böreği,334.5,8.01,15.06,41.47,0,2,3,3,4,11
124,Mercimekli Mantı,571.71,19.5,18.2,80.78,0,2,2,3,4,11
125,Patlıcan Böreği,325.35,20.83,23.11,8.52,0,2,3,2,3,11
126,Peynirli Yufka Böreği,344.84,11.25,17.1,35.86,0,2,2,1,3,11
127,Pırasalı Yufka Böreği,269.72,8.78,9.61,36.16,0,2,3,2,3,11
128,Puf Böreği,287.16,6.77,17.38,25.98,0,2,,1,3,11
129,Su Böreği,294.81,8.03,16.08,29.42,0,2,,0,3,11
